"semana","SKU","Descripcion","Familia","Codigo_familia","Subfamilia","Unidad_medida","clasificacion_ABC","nivel_servicio_objetivo","lambda_sku","costo_unitario","margen_bruto","precio_venta","factor_estacional","demanda_semanal","inventario_inicial","unidades_recibidas","ventas","demanda_insatisfecha","quiebre_stock","devoluciones","inventario_final","posicion_inventario","punto_reorden","stock_seguridad","pedido_realizado","cantidad_pedida","lead_time_pedido","valor_inventario_final","costo_mantener_sem","costo_faltante_sem","costo_ordenar_sem"
1,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,319229.83,0.3536,493864.73,1.1022,0,5,0,0,0,0,0,5,5,4.53,2.46,0,0,NA,1596149.16,7673.79,0,0
2,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,304873.41,0.3536,471654.61,1.0246,0,5,0,0,0,0,0,5,5,4.53,2.46,0,0,NA,1524367.05,7328.69,0,0
3,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,311769.96,0.3536,482323.92,0.9883,0,5,0,0,0,0,0,5,5,4.53,2.46,0,0,NA,1558849.79,7494.47,0,0
4,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,322352.97,0.3536,498696.38,0.989,1,5,0,1,0,0,0,4,4,4.53,2.46,1,1,2.356,1289411.88,6199.1,0,60000
5,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,298592.57,0.3536,461937.83,0.939,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1194370.26,5742.16,0,0
6,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,331964.53,0.3536,513565.94,0.8473,0,4,1,0,0,0,0,5,5,4.53,2.46,0,0,NA,1659822.63,7979.92,0,0
7,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,306736.44,0.3536,474536.82,0.9507,0,5,0,0,0,0,0,5,5,4.53,2.46,0,0,NA,1533682.22,7373.47,0,0
8,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,312550.77,0.3536,483531.88,0.8337,0,5,0,0,0,0,0,5,5,4.53,2.46,0,0,NA,1562753.86,7513.24,0,0
9,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,315234.48,0.3536,487683.71,0.79,0,5,0,0,0,0,0,5,5,4.53,2.46,0,0,NA,1576172.41,7577.75,0,0
10,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,320046.39,0.3536,495127.97,0.7878,0,5,0,0,0,0,0,5,5,4.53,2.46,0,0,NA,1600231.93,7693.42,0,0
11,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,303525.25,0.3536,469568.94,0.7566,1,5,0,1,0,0,0,4,4,4.53,2.46,1,1,4.681,1214101,5837.02,0,60000
12,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,306398.36,0.3536,474013.79,0.8105,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1225593.45,5892.28,0,0
13,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,330953.33,0.3536,512001.58,0.7836,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1323813.33,6364.49,0,0
14,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,318665.91,0.3536,492992.31,0.8638,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1274663.64,6128.19,0,0
15,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,302503.13,0.3536,467987.67,0.8049,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1210012.52,5817.37,0,0
16,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,319715.05,0.3536,494615.38,0.7079,0,4,1,0,0,0,0,5,5,4.53,2.46,0,0,NA,1598575.23,7685.46,0,0
17,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,323421.86,0.3536,500350,0.7671,1,5,0,1,0,0,0,4,4,4.53,2.46,1,1,1.821,1293687.42,6219.65,0,60000
18,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,320143.4,0.3536,495278.05,0.728,1,4,0,1,0,0,0,3,4,4.53,2.46,1,1,9.367,960430.19,4617.45,0,60000
19,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,318830.73,0.3536,493247.29,0.7653,0,3,1,0,0,0,0,4,5,4.53,2.46,0,0,NA,1275322.92,6131.36,0,0
20,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,329348.9,0.3536,509519.44,0.6708,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1317395.62,6333.63,0,0
21,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,327002.67,0.3536,505889.69,0.7672,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1308010.66,6288.51,0,0
22,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,308285.33,0.3536,476933.03,0.7789,1,4,0,1,0,0,0,3,4,4.53,2.46,1,1,7.469,924856,4446.42,0,60000
23,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,338008.81,0.3536,522916.75,0.8599,0,3,0,0,0,0,0,3,5,4.53,2.46,0,0,NA,1014026.42,4875.13,0,0
24,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,316520.54,0.3536,489673.31,0.8243,2,3,0,2,0,0,0,1,3,4.53,2.46,1,2,2.916,316520.54,1521.73,0,60000
25,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,317351.25,0.3536,490958.46,0.85,0,1,0,0,0,0,0,1,5,4.53,2.46,0,0,NA,317351.25,1525.73,0,0
26,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,318041.53,0.3536,492026.37,0.8327,1,1,0,1,0,0,0,0,4,4.53,2.46,1,1,6.62,0,0,0,60000
27,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,305841.5,0.3536,473152.3,0.8724,0,0,3,0,0,0,0,3,5,4.53,2.46,0,0,NA,917524.51,4411.18,0,0
28,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,315938.3,0.3536,488772.55,0.986,0,3,0,0,0,0,0,3,5,4.53,2.46,0,0,NA,947814.89,4556.8,0,0
29,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,318029.97,0.3536,492008.48,1.0222,0,3,1,0,0,0,0,4,5,4.53,2.46,0,0,NA,1272119.9,6115.96,0,0
30,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,318727.22,0.3536,493087.16,0.9797,1,4,0,1,0,0,0,3,4,4.53,2.46,1,1,2.491,956181.66,4597.03,0,60000
31,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,320530.46,0.3536,495876.86,1.0766,0,3,0,0,0,0,0,3,5,4.53,2.46,0,0,NA,961591.37,4623.04,0,0
32,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,321536.12,0.3536,497432.67,1.0529,0,3,1,0,0,0,0,4,5,4.53,2.46,0,0,NA,1286144.48,6183.39,0,0
33,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,317526.4,0.3536,491229.43,1.1426,0,4,1,0,0,0,0,5,5,4.53,2.46,0,0,NA,1587632.01,7632.85,0,0
34,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,323859.8,0.3536,501027.51,1.1802,1,5,0,1,0,0,0,4,4,4.53,2.46,1,1,4.31,1295439.19,6228.07,0,60000
35,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,313757.18,0.3536,485398.25,1.1771,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1255028.71,6033.79,0,0
36,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,326306.4,0.3536,504812.53,1.2849,1,4,0,1,0,0,0,3,4,4.53,2.46,1,1,2.454,978919.19,4706.34,0,60000
37,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,316479.06,0.3536,489609.15,1.1323,1,3,0,1,0,0,0,2,4,4.53,2.46,1,1,5.303,632958.13,3043.07,0,60000
38,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,342652.28,0.3536,530100.44,1.2449,0,2,2,0,0,0,0,4,5,4.53,2.46,0,0,NA,1370609.12,6589.47,0,0
39,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,329353.2,0.3536,509526.08,1.1745,2,4,0,2,0,0,0,2,3,4.53,2.46,1,2,1.303,658706.39,3166.86,0,60000
40,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,333585.43,0.3536,516073.57,1.1918,0,2,2,0,0,0,0,4,5,4.53,2.46,0,0,NA,1334341.74,6415.1,0,0
41,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,308333.49,0.3536,477007.53,1.2792,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1233333.96,5929.49,0,0
42,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,327416.82,0.3536,506530.42,1.2584,1,4,1,1,0,0,0,4,4,4.53,2.46,1,1,2.532,1309667.3,6296.48,0,60000
43,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,311175.54,0.3536,481404.32,1.1622,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1244702.15,5984.14,0,0
44,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,320967.91,0.3536,496553.63,1.1823,1,4,0,1,0,0,0,3,4,4.53,2.46,1,1,5.753,962903.74,4629.34,0,60000
45,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,311925.7,0.3536,482564.86,1.1931,1,3,1,1,0,0,0,3,4,4.53,2.46,1,1,2.188,935777.1,4498.93,0,60000
46,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,310962.14,0.3536,481074.18,1.2552,0,3,0,0,0,0,0,3,5,4.53,2.46,0,0,NA,932886.42,4485.03,0,0
47,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,323413.98,0.3536,500337.81,1.204,0,3,1,0,0,0,0,4,5,4.53,2.46,0,0,NA,1293655.91,6219.5,0,0
48,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,330050.21,0.3536,510604.4,1.0942,3,4,0,3,0,0,0,1,2,4.53,2.46,1,3,3.449,330050.21,1586.78,0,60000
49,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,349157.51,0.3536,540164.36,1.1934,1,1,0,1,0,0,0,0,4,4.53,2.46,1,1,5.27,0,0,0,60000
50,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,302300.28,0.3536,467673.86,1.2382,0,0,1,0,0,0,0,1,5,4.53,2.46,0,0,NA,302300.28,1453.37,0,0
51,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,320709.56,0.3536,496153.94,1.1088,0,1,3,0,0,0,0,4,5,4.53,2.46,0,0,NA,1282838.25,6167.49,0,0
52,"HER-ALA-001","Rollos de Alambre","Herramientas","HER","Alambre","rollo","C",0.9,0.5181,314166.96,0.3536,486032.2,1.089,0,4,0,0,0,0,0,4,5,4.53,2.46,0,0,NA,1256667.83,6041.67,0,0
1,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,281930.76,0.1922,349018.57,0.9986,0,10,0,0,0,0,0,10,10,8.57,4.28,0,0,NA,2819307.58,13554.36,0,0
2,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,265575.53,0.1922,328771.48,1.0049,2,10,0,2,0,0,0,8,8,8.57,4.28,1,2,0.889,2124604.24,10214.44,0,60000
3,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,293316.3,0.1922,363113.41,1.1122,1,8,2,1,0,0,0,9,9,8.57,4.28,0,0,NA,2639846.74,12691.57,0,0
4,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,279485.95,0.1922,345992.01,1.0069,1,9,0,1,0,0,0,8,8,8.57,4.28,1,2,3.801,2235887.64,10749.46,0,60000
5,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,284439.73,0.1922,352124.57,0.9509,0,8,0,0,0,0,0,8,10,8.57,4.28,0,0,NA,2275517.82,10939.99,0,0
6,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,285214.04,0.1922,353083.14,0.9756,1,8,0,1,0,0,0,7,9,8.57,4.28,0,0,NA,1996498.25,9598.55,0,0
7,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,273842.91,0.1922,339006.16,0.8925,0,7,0,0,0,0,0,7,9,8.57,4.28,0,0,NA,1916900.4,9215.87,0,0
8,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,273018.44,0.1922,337985.49,0.9,0,7,2,0,0,0,0,9,9,8.57,4.28,0,0,NA,2457165.92,11813.3,0,0
